[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO: Successfully loaded OpenSpiel environments: 41.
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO: OpenSpiel games skipped: 0.
Loading 42 agents: avikdas567_heuristic, biohack44_day2, daniilkrasnovvv_conservative_prob, jek1wantaufik_lucario, kiyotah_abomasnow, kiyotah_dragapult, kiyotah_iono, kojimar_lucario, makimakiai_rl, makthanithin_1084_baseline, makthanithin_improved_prob, mechi22_alakazam, pixiux_lucario_v63, plamen06_steel, pllinas_alakazam, prvsiyan_control_v11, prvsiyan_grimbelief_alakazam, romanrozen_strong_start, ryotasueyoshi_alakazam, tb_abomasnow, tb_alakazam, tb_archaludon, tb_dragapult, tb_heuristic, tb_iono, tb_lucario, tb_rulecore, tb_search, tb_starmie, wmh_alakazam, wmh_bellibolt, wmh_chandelure, wmh_froslass, wmh_garchomp, wmh_grimmsnarl, wmh_kangaskhan, wmh_megastarmie, wmh_mewtwo, wmh_ogerpon, wmh_trevenant, wmh_typhlosion, random_legal
[1/903] avikdas567_heuristic vs avikdas567_heuristic: avikdas567_heuristic 1-1  (2 games, 0.4s, 0.18s/game)
[118/903] daniilkrasnovvv_conservative_prob vs wmh_megastarmie: daniilkrasnovvv_conservative_prob 2-4  (6 games, 1.2s, 0.20s/game)
[119/903] daniilkrasnovvv_conservative_prob vs wmh_mewtwo: daniilkrasnovvv_conservative_prob 5-1  (6 games, 1.8s, 0.29s/game)
[120/903] daniilkrasnovvv_conservative_prob vs wmh_ogerpon: daniilkrasnovvv_conservative_prob 6-0  (6 games, 1.8s, 0.30s/game)
[121/903] daniilkrasnovvv_conservative_prob vs wmh_trevenant: daniilkrasnovvv_conservative_prob 2-4  (6 games, 1.5s, 0.26s/game)
[122/903] daniilkrasnovvv_conservative_prob vs wmh_typhlosion: daniilkrasnovvv_conservative_prob 6-0  (6 games, 1.2s, 0.20s/game)
[123/903] daniilkrasnovvv_conservative_prob vs random_legal: daniilkrasnovvv_conservative_prob 6-0  (6 games, 0.7s, 0.12s/game)
[124/903] jek1wantaufik_lucario vs jek1wantaufik_lucario: jek1wantaufik_lucario 1-1  (2 games, 0.5s, 0.27s/game)
[125/903] jek1wantaufik_lucario vs kiyotah_abomasnow: jek1wantaufik_lucario 1-5  (6 games, 1.1s, 0.18s/game)
[126/903] jek1wantaufik_lucario vs kiyotah_dragapult: jek1wantaufik_lucario 4-2  (6 games, 1.5s, 0.25s/game)
[127/903] jek1wantaufik_lucario vs kiyotah_iono: jek1wantaufik_lucario 5-1  (6 games, 2.2s, 0.37s/game)
[128/903] jek1wantaufik_lucario vs kojimar_lucario: jek1wantaufik_lucario 3-3  (6 games, 1.7s, 0.28s/game)
[129/903] jek1wantaufik_lucario vs makimakiai_rl: jek1wantaufik_lucario 3-3  (6 games, 1.4s, 0.23s/game)
[130/903] jek1wantaufik_lucario vs makthanithin_1084_baseline: jek1wantaufik_lucario 3-3  (6 games, 1.7s, 0.29s/game)
[131/903] jek1wantaufik_lucario vs makthanithin_improved_prob: jek1wantaufik_lucario 2-4  (6 games, 1.7s, 0.28s/game)
[132/903] jek1wantaufik_lucario vs mechi22_alakazam: jek1wantaufik_lucario 2-4  (6 games, 1.7s, 0.29s/game)
[133/903] jek1wantaufik_lucario vs pixiux_lucario_v63: jek1wantaufik_lucario 4-2  (6 games, 1.8s, 0.29s/game)
[134/903] jek1wantaufik_lucario vs plamen06_steel: jek1wantaufik_lucario 3-3  (6 games, 1.3s, 0.21s/game)
[135/903] jek1wantaufik_lucario vs pllinas_alakazam: jek1wantaufik_lucario 0-6  (6 games, 9.5s, 1.58s/game)
[136/903] jek1wantaufik_lucario vs prvsiyan_control_v11: jek1wantaufik_lucario 1-5  (6 games, 1.2s, 0.19s/game)
[137/903] jek1wantaufik_lucario vs prvsiyan_grimbelief_alakazam: jek1wantaufik_lucario 6-0  (6 games, 1.4s, 0.24s/game)
[138/903] jek1wantaufik_lucario vs romanrozen_strong_start: jek1wantaufik_lucario 4-2  (6 games, 1.9s, 0.32s/game)
[139/903] jek1wantaufik_lucario vs ryotasueyoshi_alakazam: jek1wantaufik_lucario 1-5  (6 games, 1.7s, 0.28s/game)
[140/903] jek1wantaufik_lucario vs tb_abomasnow: jek1wantaufik_lucario 5-1  (6 games, 0.7s, 0.12s/game)
[141/903] jek1wantaufik_lucario vs tb_alakazam: jek1wantaufik_lucario 2-4  (6 games, 1.4s, 0.23s/game)
[142/903] jek1wantaufik_lucario vs tb_archaludon: jek1wantaufik_lucario 1-5  (6 games, 1.4s, 0.24s/game)
[143/903] jek1wantaufik_lucario vs tb_dragapult: jek1wantaufik_lucario 0-6  (6 games, 1.8s, 0.30s/game)
[144/903] jek1wantaufik_lucario vs tb_heuristic: jek1wantaufik_lucario 6-0  (6 games, 1.4s, 0.24s/game)
[145/903] jek1wantaufik_lucario vs tb_iono: jek1wantaufik_lucario 5-1  (6 games, 2.1s, 0.35s/game)
[146/903] jek1wantaufik_lucario vs tb_lucario: jek1wantaufik_lucario 3-2-1d  (6 games, 1.8s, 0.31s/game)
[147/903] jek1wantaufik_lucario vs tb_rulecore: jek1wantaufik_lucario 4-2  (6 games, 1.3s, 0.22s/game)
[148/903] jek1wantaufik_lucario vs tb_search: jek1wantaufik_lucario 3-3  (6 games, 1.5s, 0.26s/game)
[149/903] jek1wantaufik_lucario vs tb_starmie: jek1wantaufik_lucario 5-1  (6 games, 0.8s, 0.14s/game)
[150/903] jek1wantaufik_lucario vs wmh_alakazam: jek1wantaufik_lucario 3-3  (6 games, 1.2s, 0.20s/game)
[151/903] jek1wantaufik_lucario vs wmh_bellibolt: jek1wantaufik_lucario 5-1  (6 games, 1.7s, 0.29s/game)
[152/903] jek1wantaufik_lucario vs wmh_chandelure: jek1wantaufik_lucario 5-1  (6 games, 1.5s, 0.25s/game)
[153/903] jek1wantaufik_lucario vs wmh_froslass: jek1wantaufik_lucario 5-1  (6 games, 1.3s, 0.21s/game)
[154/903] jek1wantaufik_lucario vs wmh_garchomp: jek1wantaufik_lucario 2-4  (6 games, 1.4s, 0.24s/game)
[155/903] jek1wantaufik_lucario vs wmh_grimmsnarl: jek1wantaufik_lucario 3-3  (6 games, 1.7s, 0.29s/game)
[156/903] jek1wantaufik_lucario vs wmh_kangaskhan: jek1wantaufik_lucario 6-0  (6 games, 1.0s, 0.16s/game)
[157/903] jek1wantaufik_lucario vs wmh_megastarmie: jek1wantaufik_lucario 0-6  (6 games, 1.3s, 0.21s/game)
[158/903] jek1wantaufik_lucario vs wmh_mewtwo: jek1wantaufik_lucario 4-2  (6 games, 1.6s, 0.27s/game)
[159/903] jek1wantaufik_lucario vs wmh_ogerpon: jek1wantaufik_lucario 1-5  (6 games, 2.1s, 0.34s/game)
[160/903] jek1wantaufik_lucario vs wmh_trevenant: jek1wantaufik_lucario 0-6  (6 games, 1.4s, 0.23s/game)
[161/903] jek1wantaufik_lucario vs wmh_typhlosion: jek1wantaufik_lucario 2-4  (6 games, 1.7s, 0.29s/game)
[162/903] jek1wantaufik_lucario vs random_legal: jek1wantaufik_lucario 5-1  (6 games, 0.9s, 0.15s/game)
[163/903] kiyotah_abomasnow vs kiyotah_abomasnow: kiyotah_abomasnow 1-1  (2 games, 0.2s, 0.10s/game)
[164/903] kiyotah_abomasnow vs kiyotah_dragapult: kiyotah_abomasnow 4-2  (6 games, 1.3s, 0.22s/game)
[165/903] kiyotah_abomasnow vs kiyotah_iono: kiyotah_abomasnow 3-3  (6 games, 1.6s, 0.26s/game)
[166/903] kiyotah_abomasnow vs kojimar_lucario: kiyotah_abomasnow 4-2  (6 games, 1.0s, 0.17s/game)
[167/903] kiyotah_abomasnow vs makimakiai_rl: kiyotah_abomasnow 5-1  (6 games, 0.8s, 0.13s/game)
[168/903] kiyotah_abomasnow vs makthanithin_1084_baseline: kiyotah_abomasnow 3-3  (6 games, 0.7s, 0.12s/game)
[169/903] kiyotah_abomasnow vs makthanithin_improved_prob: kiyotah_abomasnow 3-3  (6 games, 0.8s, 0.14s/game)
[170/903] kiyotah_abomasnow vs mechi22_alakazam: kiyotah_abomasnow 0-6  (6 games, 1.0s, 0.16s/game)
[171/903] kiyotah_abomasnow vs pixiux_lucario_v63: kiyotah_abomasnow 5-1  (6 games, 1.0s, 0.16s/game)
[172/903] kiyotah_abomasnow vs plamen06_steel: kiyotah_abomasnow 1-5  (6 games, 0.8s, 0.13s/game)
[173/903] kiyotah_abomasnow vs pllinas_alakazam: kiyotah_abomasnow 0-6  (6 games, 6.3s, 1.04s/game)
[174/903] kiyotah_abomasnow vs prvsiyan_control_v11: kiyotah_abomasnow 4-2  (6 games, 1.1s, 0.19s/game)
[175/903] kiyotah_abomasnow vs prvsiyan_grimbelief_alakazam: kiyotah_abomasnow 5-1  (6 games, 1.2s, 0.20s/game)
[176/903] kiyotah_abomasnow vs romanrozen_strong_start: kiyotah_abomasnow 2-4  (6 games, 1.0s, 0.16s/game)
[177/903] kiyotah_abomasnow vs ryotasueyoshi_alakazam: kiyotah_abomasnow 2-4  (6 games, 0.9s, 0.15s/game)
[178/903] kiyotah_abomasnow vs tb_abomasnow: kiyotah_abomasnow 1-5  (6 games, 0.6s, 0.09s/game)
[179/903] kiyotah_abomasnow vs tb_alakazam: kiyotah_abomasnow 2-4  (6 games, 1.2s, 0.20s/game)
[180/903] kiyotah_abomasnow vs tb_archaludon: kiyotah_abomasnow 3-3  (6 games, 0.8s, 0.13s/game)
[181/903] kiyotah_abomasnow vs tb_dragapult: kiyotah_abomasnow 1-5  (6 games, 1.4s, 0.23s/game)
[182/903] kiyotah_abomasnow vs tb_heuristic: kiyotah_abomasnow 5-1  (6 games, 1.2s, 0.19s/game)
[183/903] kiyotah_abomasnow vs tb_iono: kiyotah_abomasnow 4-2  (6 games, 2.1s, 0.36s/game)
[184/903] kiyotah_abomasnow vs tb_lucario: kiyotah_abomasnow 4-2  (6 games, 1.0s, 0.16s/game)
[185/903] kiyotah_abomasnow vs tb_rulecore: kiyotah_abomasnow 6-0  (6 games, 0.9s, 0.15s/game)
[186/903] kiyotah_abomasnow vs tb_search: kiyotah_abomasnow 5-1  (6 games, 1.0s, 0.16s/game)
[187/903] kiyotah_abomasnow vs tb_starmie: kiyotah_abomasnow 6-0  (6 games, 0.9s, 0.15s/game)
[188/903] kiyotah_abomasnow vs wmh_alakazam: kiyotah_abomasnow 3-3  (6 games, 1.1s, 0.19s/game)
[189/903] kiyotah_abomasnow vs wmh_bellibolt: kiyotah_abomasnow 6-0  (6 games, 1.2s, 0.20s/game)
[190/903] kiyotah_abomasnow vs wmh_chandelure: kiyotah_abomasnow 6-0  (6 games, 1.1s, 0.19s/game)
[191/903] kiyotah_abomasnow vs wmh_froslass: kiyotah_abomasnow 4-2  (6 games, 0.8s, 0.13s/game)
[192/903] kiyotah_abomasnow vs wmh_garchomp: kiyotah_abomasnow 4-2  (6 games, 0.9s, 0.15s/game)
[193/903] kiyotah_abomasnow vs wmh_grimmsnarl: kiyotah_abomasnow 5-1  (6 games, 1.1s, 0.18s/game)
[194/903] kiyotah_abomasnow vs wmh_kangaskhan: kiyotah_abomasnow 6-0  (6 games, 1.0s, 0.16s/game)
[195/903] kiyotah_abomasnow vs wmh_megastarmie: kiyotah_abomasnow 5-1  (6 games, 0.7s, 0.11s/game)
[196/903] kiyotah_abomasnow vs wmh_mewtwo: kiyotah_abomasnow 6-0  (6 games, 1.1s, 0.19s/game)
[197/903] kiyotah_abomasnow vs wmh_ogerpon: kiyotah_abomasnow 6-0  (6 games, 1.2s, 0.19s/game)
[198/903] kiyotah_abomasnow vs wmh_trevenant: kiyotah_abomasnow 2-4  (6 games, 1.0s, 0.16s/game)
